,4,1,0,2,3,5,6,8,7
ZNF436-AS1,7.0,29.0,27.0,9.0,1.0,1.0,2.0,0.0,1.0
TCEA3,17.0,245.0,47.0,1109.0,17.0,10.0,54.0,0.0,132.0
ASAP3,5.0,60.0,48.0,6.0,2.0,1.0,2.0,0.0,1.0
ID3,2261.0,1778.0,7899.0,300.0,340.0,39.0,540.0,24.0,36.0
RPL11,5218.0,8177.0,21154.0,4351.0,7407.0,5153.0,3600.0,1200.0,424.0
ELOA,50.0,113.0,241.0,31.0,47.0,33.0,24.0,2.0,3.0
ELOA-AS1,3.0,11.0,12.0,3.0,2.0,2.0,5.0,0.0,0.0
PITHD1,92.0,266.0,428.0,163.0,87.0,77.0,51.0,13.0,19.0
LYPLA2,34.0,49.0,153.0,46.0,58.0,16.0,13.0,2.0,0.0
GALE,22.0,11.0,74.0,14.0,16.0,4.0,7.0,3.0,0.0
HMGCL,39.0,162.0,162.0,124.0,34.0,4.0,14.0,1.0,6.0
FUCA1,28.0,68.0,100.0,18.0,50.0,4.0,18.0,0.0,4.0
PNRC2,186.0,364.0,843.0,145.0,363.0,69.0,104.0,13.0,6.0
SRSF10,229.0,364.0,821.0,128.0,232.0,119.0,128.0,25.0,11.0
MYOM3,0.0,0.0,0.0,21.0,0.0,1.0,0.0,0.0,1.0
STPG1,8.0,13.0,35.0,4.0,1.0,0.0,0.0,1.0,0.0
NIPAL3,31.0,51.0,199.0,6.0,25.0,21.0,2.0,3.0,0.0
RCAN3,42.0,34.0,241.0,6.0,46.0,109.0,10.0,5.0,1.0
AL445686.2,1.0,2.0,14.0,1.0,4.0,7.0,1.0,0.0,0.0
SRRM1,478.0,734.0,1733.0,151.0,517.0,275.0,170.0,41.0,22.0
CLIC4,365.0,274.0,1431.0,40.0,274.0,9.0,73.0,4.0,4.0
RUNX3,1.0,5.0,5.0,2.0,127.0,330.0,1.0,15.0,0.0
SYF2,406.0,704.0,1729.0,162.0,361.0,167.0,171.0,22.0,27.0
RSRP1,347.0,762.0,1789.0,84.0,479.0,221.0,171.0,28.0,13.0
TMEM50A,426.0,1078.0,1910.0,136.0,403.0,163.0,108.0,21.0,13.0
MACO1,58.0,134.0,230.0,29.0,62.0,30.0,22.0,3.0,5.0
LDLRAP1,32.0,68.0,117.0,15.0,15.0,29.0,15.0,4.0,2.0
AL606491.1,2.0,3.0,10.0,1.0,0.0,1.0,3.0,1.0,0.0
MAN1C1,18.0,266.0,102.0,8.0,13.0,9.0,7.0,0.0,0.0
AL031280.1,3.0,23.0,15.0,1.0,1.0,22.0,2.0,0.0,0.0
SELENON,117.0,155.0,474.0,33.0,64.0,11.0,29.0,2.0,4.0
MTFR1L,57.0,90.0,161.0,361.0,46.0,9.0,17.0,1.0,16.0
PAQR7,3.0,10.0,17.0,3.0,13.0,0.0,0.0,0.0,1.0
STMN1,172.0,30.0,339.0,52.0,90.0,168.0,82.0,42.0,4.0
PAFAH2,9.0,10.0,43.0,6.0,12.0,8.0,2.0,1.0,1.0
TRIM63,0.0,2.0,4.0,257.0,4.0,0.0,0.0,0.0,80.0
PDIK1L,13.0,19.0,41.0,25.0,9.0,6.0,1.0,2.0,1.0
FAM110D,40.0,16.0,369.0,14.0,19.0,0.0,13.0,0.0,1.0
ZNF593,53.0,166.0,191.0,194.0,70.0,31.0,34.0,13.0,10.0
CNKSR1,2.0,1.0,7.0,46.0,1.0,0.0,2.0,0.0,10.0
CEP85,2.0,1.0,4.0,28.0,12.0,3.0,2.0,0.0,4.0
SH3BGRL3,418.0,1591.0,1897.0,127.0,3155.0,842.0,90.0,100.0,15.0
UBXN11,6.0,36.0,25.0,1.0,145.0,7.0,5.0,1.0,2.0
CD52,69.0,29.0,60.0,8.0,1743.0,931.0,3.0,315.0,1.0
DHDDS,31.0,50.0,88.0,19.0,23.0,11.0,13.0,2.0,0.0
HMGN2,383.0,1097.0,1165.0,324.0,638.0,255.0,318.0,72.0,40.0
RPS6KA1,7.0,4.0,13.0,3.0,76.0,35.0,2.0,4.0,1.0
ARID1A,115.0,157.0,422.0,28.0,226.0,63.0,37.0,11.0,3.0
PIGV,10.0,55.0,41.0,8.0,11.0,3.0,7.0,1.0,1.0
ZDHHC18,31.0,29.0,90.0,10.0,32.0,12.0,9.0,3.0,1.0
GPN2,13.0,40.0,61.0,17.0,22.0,10.0,4.0,2.0,2.0
GPATCH3,20.0,25.0,67.0,7.0,17.0,7.0,3.0,1.0,0.0
NUDC,314.0,533.0,1092.0,301.0,181.0,92.0,138.0,15.0,25.0
TRNP1,36.0,3.0,119.0,2.0,33.0,5.0,4.0,0.0,1.0
TENT5B,13.0,3.0,42.0,0.0,2.0,0.0,2.0,0.0,0.0
SLC9A1,18.0,34.0,82.0,8.0,27.0,5.0,13.0,1.0,1.0
WDTC1,30.0,42.0,92.0,16.0,34.0,12.0,9.0,3.0,0.0
TMEM222,54.0,182.0,258.0,50.0,37.0,12.0,18.0,5.0,4.0
SYTL1,2.0,4.0,4.0,1.0,46.0,74.0,0.0,15.0,1.0
MAP3K6,91.0,96.0,331.0,6.0,45.0,1.0,17.0,2.0,2.0
FCN3,82.0,8.0,291.0,3.0,28.0,0.0,10.0,0.0,0.0
WASF2,611.0,839.0,2568.0,104.0,537.0,101.0,173.0,31.0,7.0
AHDC1,61.0,186.0,243.0,13.0,30.0,19.0,40.0,2.0,5.0
FGR,15.0,6.0,36.0,1.0,431.0,26.0,0.0,1.0,0.0
LINC02574,4.0,1.0,20.0,0.0,2.0,0.0,0.0,0.0,0.0
IFI6,671.0,408.0,2741.0,42.0,709.0,91.0,75.0,6.0,5.0
FAM76A,62.0,104.0,149.0,39.0,44.0,19.0,11.0,3.0,4.0
STX12,185.0,199.0,614.0,44.0,134.0,22.0,46.0,5.0,5.0
PPP1R8,37.0,66.0,113.0,26.0,26.0,13.0,19.0,2.0,5.0
THEMIS2,2.0,0.0,31.0,2.0,209.0,10.0,10.0,16.0,0.0
RPA2,70.0,204.0,243.0,118.0,71.0,52.0,59.0,11.0,11.0
XKR8,13.0,22.0,62.0,11.0,13.0,12.0,9.0,1.0,0.0
EYA3,23.0,37.0,108.0,8.0,35.0,6.0,9.0,4.0,1.0
PTAFR,2.0,5.0,14.0,2.0,158.0,0.0,1.0,0.0,0.0
DNAJC8,309.0,506.0,1152.0,175.0,285.0,138.0,120.0,20.0,19.0
ATP5IF1,316.0,789.0,1311.0,1848.0,355.0,179.0,146.0,52.0,131.0
SESN2,15.0,26.0,61.0,8.0,26.0,18.0,7.0,0.0,1.0
MED18,8.0,26.0,35.0,16.0,10.0,4.0,4.0,1.0,0.0
PHACTR4,215.0,136.0,884.0,33.0,118.0,42.0,40.0,8.0,2.0
RCC1,4.0,24.0,35.0,6.0,29.0,4.0,8.0,1.0,0.0
TRNAU1AP,63.0,140.0,277.0,33.0,61.0,25.0,18.0,4.0,4.0
SNHG12,58.0,182.0,265.0,20.0,57.0,39.0,42.0,7.0,4.0
TAF12,49.0,167.0,206.0,79.0,71.0,25.0,32.0,6.0,9.0
RAB42,3.0,16.0,4.0,1.0,2.0,0.0,2.0,0.0,1.0
AL360012.1,10.0,7.0,37.0,2.0,45.0,10.0,1.0,2.0,0.0
GMEB1,34.0,50.0,138.0,11.0,51.0,13.0,17.0,10.0,3.0
YTHDF2,135.0,310.0,496.0,90.0,128.0,61.0,75.0,17.0,11.0
EPB41,46.0,10.0,205.0,8.0,75.0,58.0,2.0,6.0,2.0
TMEM200B,13.0,20.0,34.0,3.0,4.0,0.0,1.0,0.0,0.0
SRSF4,211.0,291.0,858.0,104.0,208.0,82.0,71.0,16.0,12.0
MECR,21.0,42.0,72.0,113.0,9.0,4.0,10.0,1.0,11.0
PTPRU,3.0,25.0,6.0,2.0,0.0,0.0,2.0,0.0,1.0
MATN1-AS1,4.0,5.0,8.0,0.0,5.0,1.0,1.0,0.0,0.0
LAPTM5,62.0,13.0,97.0,12.0,2040.0,314.0,6.0,112.0,1.0
SDC3,81.0,50.0,403.0,12.0,27.0,2.0,11.0,3.0,1.0
PUM1,158.0,227.0,556.0,54.0,188.0,41.0,63.0,10.0,5.0
SNRNP40,52.0,139.0,237.0,44.0,53.0,31.0,26.0,10.0,5.0
ZCCHC17,113.0,184.0,333.0,71.0,77.0,30.0,25.0,7.0,8.0
FABP3,6.0,35.0,12.0,1589.0,16.0,1.0,5.0,1.0,36.0
SERINC2,1.0,3.0,6.0,34.0,5.0,0.0,24.0,0.0,4.0
TINAGL1,1089.0,223.0,3618.0,124.0,206.0,17.0,102.0,6.0,18.0
PEF1,194.0,170.0,733.0,47.0,80.0,23.0,39.0,6.0,4.0
COL16A1,8.0,105.0,28.0,7.0,4.0,0.0,2.0,0.0,0.0
PTP4A2,311.0,504.0,1239.0,272.0,974.0,185.0,94.0,40.0,32.0
KHDRBS1,310.0,417.0,1052.0,98.0,323.0,96.0,115.0,22.0,17.0
AL445248.1,1.0,3.0,12.0,0.0,1.0,1.0,2.0,0.0,1.0
TMEM39B,20.0,47.0,95.0,16.0,22.0,4.0,14.0,2.0,2.0
KPNA6,74.0,160.0,309.0,45.0,74.0,35.0,37.0,4.0,3.0
TXLNA,62.0,138.0,241.0,18.0,56.0,26.0,41.0,7.0,3.0
CCDC28B,26.0,62.0,121.0,613.0,24.0,21.0,10.0,3.0,42.0
